Date,State,District,Maximum Temp(Celsius),Maximum Temp Departure from Normal(Celsius),Minimum Temp(Celsius),Minimum Temp Departure from Normal(Celsius),24 Hours Rainfall (mm),Relative Humidity at 0830 hrs (%),Relative Humidity at 1730 hrs (%),Todays Sunset (IST),Tommorows Sunrise (IST),Moonset (IST),Moonrise (IST)
2018-06-26,Andaman and Nicobar,Nicobar Islands,29.7,0.0,24.3,0.0,31.1,93.0,97.0,0 days 17:46:00.000000000,0 days 04:58:00.000000000,0 days 03:19:00.000000000,0 days 16:16:00.000000000
2018-06-26,Andaman and Nicobar,North and Middle Andaman,29.7,0.0,24.3,0.0,31.1,93.0,97.0,0 days 17:46:00.000000000,0 days 04:58:00.000000000,0 days 03:19:00.000000000,0 days 16:16:00.000000000
2018-06-26,Andaman and Nicobar,South Andaman,29.7,0.0,24.3,0.0,31.1,93.0,97.0,0 days 17:46:00.000000000,0 days 04:58:00.000000000,0 days 03:19:00.000000000,0 days 16:16:00.000000000
2018-06-26,Andhra Pradesh,Anantapur,36.0,1.0,24.3,-1.0,0.1,61.0,40.0,0 days 18:52:00.000000000,0 days 05:53:00.000000000,0 days 04:17:00.000000000,0 days 17:23:00.000000000
2018-06-26,Andhra Pradesh,Chittoor,38.9,2.0,24.2,-3.0,8.2,57.0,41.0,0 days 18:42:00.000000000,0 days 05:47:00.000000000,0 days 04:11:00.000000000,0 days 17:13:00.000000000
2018-06-26,Andhra Pradesh,East Godavari,39.0,5.0,29.1,2.0,,66.0,47.0,0 days 18:38:00.000000000,0 days 05:30:00.000000000,0 days 03:55:00.000000000,0 days 17:07:00.000000000
2018-06-26,Andhra Pradesh,Guntur,39.0,3.0,28.0,2.0,,57.0,40.0,0 days 18:43:00.000000000,0 days 05:36:00.000000000,0 days 04:02:00.000000000,0 days 17:13:00.000000000
2018-06-26,Andhra Pradesh,Krishna,39.55,3.0,26.299999999999997,-1.0,8.2,60.5,54.0,0 days 18:41:30.000000000,0 days 05:41:30.000000000,0 days 04:06:00.000000000,0 days 17:12:00.000000000
2018-06-26,Andhra Pradesh,Kurnool,36.5,2.0,26.2,1.0,,64.0,35.0,0 days 18:52:00.000000000,0 days 05:49:00.000000000,0 days 04:14:00.000000000,0 days 17:23:00.000000000
2018-06-26,Andhra Pradesh,Nellore,39.0,2.0,28.6,1.0,,56.0,56.0,0 days 18:42:00.000000000,0 days 05:44:00.000000000,0 days 04:08:00.000000000,0 days 17:13:00.000000000
2018-06-26,Andhra Pradesh,Prakasam,39.0,2.0,30.4,3.0,,59.0,35.0,0 days 18:44:00.000000000,0 days 05:44:00.000000000,0 days 04:06:00.000000000,0 days 17:14:00.000000000
2018-06-26,Andhra Pradesh,Srikakulam,32.8,0.0,27.9,2.0,,78.0,80.0,0 days 18:33:00.000000000,0 days 05:19:00.000000000,0 days 03:45:00.000000000,0 days 17:02:00.000000000
2018-06-26,Andhra Pradesh,Visakhapatnam,35.8,4.0,29.6,3.0,,70.0,70.0,0 days 18:35:00.000000000,0 days 05:24:00.000000000,0 days 03:50:00.000000000,0 days 17:04:00.000000000
2018-06-26,Andhra Pradesh,Vizianagaram,35.8,4.0,29.6,3.0,,70.0,70.0,0 days 18:35:00.000000000,0 days 05:24:00.000000000,0 days 03:50:00.000000000,0 days 17:04:00.000000000
2018-06-26,Andhra Pradesh,West Godavari,39.0,3.0,28.0,2.0,,57.0,40.0,0 days 18:43:00.000000000,0 days 05:36:00.000000000,0 days 04:02:00.000000000,0 days 17:13:00.000000000
2018-06-26,Andhra Pradesh,Y.S.R.,37.5,1.0,28.0,2.0,,74.0,57.0,0 days 18:47:00.000000000,0 days 05:48:00.000000000,0 days 04:13:00.000000000,0 days 17:17:00.000000000
2018-06-26,Arunachal Pradesh,Anjaw,32.7,2.0,24.5,1.0,11.1,97.0,,,,,
